player_id,name,nationality,club,league,season,era,positions,goals,npxG,shots,shots_on_target,xG_per_shot,big_chances,assists,xA,key_passes,through_balls,chances_created,progressive_passes,progressive_carries,carries_into_box,passes_into_box,touches,possession_won,possession_lost,tackles,interceptions,blocks,clearances,pressures,counterpressures,saves,save_percentage,goals_prevented,possession_value,ball_progression_value,attacking_value,defensive_value,minutes,position_role,position_group,attack_score,creation_score,progression_score,defense_score,goalkeeper_score,attack_norm,creation_norm,progression_norm,defense_norm,goalkeeper_norm,AttackIoG,CreationIoG,ProgressionIoG,DefensiveIoG,GoalkeeperIoG,iog_raw,iog,position_percentile,rank_tier
12064,Mama Samba Baldé,,Guinea-Bissau,African Cup of Nations,2023,2020s,['LW' 'ST'],0,0.22855958399999998,3,0,0.07618652799999999,0,0,0.0,0,0,28,0,0,4,3,0,1,2,0,1,3,2,17,0,1,100.0,0.0,-0.3999999999999999,8.8,0.2971274592,14.5,85,ST,ST,0.5485430015999999,30.800000000000004,10.0,16.7,182.5,-0.7045080454740928,-0.33609516294742076,-0.4898023268689268,-0.3815591198998971,0.8446696689467318,5.838600440732513,17.03681872180465,13.567873788345587,22.051441023715345,40.809001658456026,-0.5640515207729402,33.78378378378378,32.82208588957055,Top 50%
24909,Moreto Moro Cassamã,,Guinea-Bissau,African Cup of Nations,2023,2020s,['CAM' 'CM'],0,0.0,0,0,0.0,0,0,0.0,0,0,43,0,0,1,1,0,0,6,0,0,2,0,26,0,0,0.0,0.0,-3.5999999999999996,2.5,0.0,15.0,67,CAM,CAM,0.0,47.300000000000004,2.8,17.6,0.0,-0.5218432815815407,-0.4669256507900623,-0.8095897658010536,-0.42582118324081214,-0.7251125445192222,7.853027471417507,15.418269191290513,9.58601547922048,21.318744907833842,13.464160908026413,-0.5670117454027912,34.48275862068966,31.70731707317073,Top 50%
41052,Fali Candé,,Guinea-Bissau,African Cup of Nations,2023,2020s,['LB'],0,0.0797651413,4,0,0.019941285325,0,0,0.0,0,0,103,0,0,0,0,0,1,21,0,1,3,4,12,0,1,100.0,0.0,-11.799999999999999,0.0,0.10369468369,13.8,98,FB,FB,0.18345982499,113.30000000000001,0.0,15.7,182.5,-0.33100748072698094,-0.08768682854911124,-0.6637664235057658,-0.71087624429977,2.788866755113584,9.957564698367152,20.10996474186511,11.401746231878734,16.600059869551902,74.67596693085552,-0.5317630475144578,35.44303797468354,34.69387755102041,Top 50%
7568,Opa Sangante,,Guinea-Bissau,African Cup of Nations,2023,2020s,['CB'],0,0.050328754,1,0,0.050328754,0,0,0.0,0,0,98,0,0,0,0,0,3,16,0,3,5,8,22,0,0,0.0,0.0,-7.199999999999999,0.0,0.06542738020000001,26.8,96,CB,CB,0.1610520128,107.80000000000001,0.0,30.7,0.0,-0.4489560035522874,-0.5306387754896238,-0.6513812608090788,-0.3253585578998259,-0.39056257428244795,8.656828379301125,14.630051935736926,11.555961053944138,22.981762169628706,19.291858266749205,-0.43975199995136505,35.294117647058826,34.705882352941174,Top 50%
32433,Jefferson Anilson Silva Encada,,Guinea-Bissau,African Cup of Nations,2023,2020s,['RB'],0,0.030593694,2,0,0.015296847,0,0,0.0,0,0,103,0,0,3,4,0,3,20,0,3,6,4,23,0,1,100.0,0.0,-9.6,8.7,0.039771802200000005,24.7,97,FB,FB,0.0795436044,113.30000000000001,9.600000000000001,28.299999999999997,182.5,-0.40158161054846164,-0.08768682854911124,-0.2004007611468068,-0.2263472018620877,2.788866755113584,9.179273189102188,20.10996474186511,17.171380020461914,24.62075571220836,74.67596693085552,-0.20705731381778147,55.69620253164557,55.10204081632652,Top 75%
7791,Seko Fofana,,Côte d'Ivoire,African Cup of Nations,2023,2020s,['CAM' 'CDM' 'CM'],1,0.6192507607,17,0,0.03642651533529412,0,0,0.0,0,0,227,0,0,10,10,0,1,27,0,1,7,3,63,0,4,100.0,0.0,-15.399999999999999,25.0,2.60502598891,42.4,122,CAM,CAM,3.782213339802353,249.70000000000002,28.0,49.3,190.0,0.6291452069307432,1.6456672728801378,1.8129643159693805,0.6405297123006709,1.4345469799677586,20.546128613957805,41.553892020172334,42.240952760368536,38.97068203765531,51.084376798901566,1.3322780358386568,93.10344827586206,91.05691056910568,Top 95%
4256,Jonathan Bamba,,Côte d'Ivoire,African Cup of Nations,2023,2020s,['LW' 'LWB' 'RW'],0,0.0,0,0,0.0,0,0,0.0,0,0,43,0,0,5,5,0,0,11,0,0,0,1,10,0,0,0.0,0.0,-6.6,12.5,0.0,5.9,99,WINGER,WINGER,0.0,47.300000000000004,14.0,7.0,0.0,-0.7680648726748787,-0.3636963772542863,-0.3702116955063405,-0.9463080140806652,-0.9171109372850345,5.137695745324762,16.695354486711913,15.05696588894464,12.7028185244085,10.119642522302302,-0.5363105279684288,25.862068965517242,25.52166934189406,Top 50%
3017,Ibrahim Sangaré,,Côte d'Ivoire,African Cup of Nations,2023,2020s,['CDM' 'CM'],0,0.25626416550000003,5,0,0.051252833100000006,0,0,0.0,0,0,209,0,0,6,5,0,4,29,0,4,11,10,96,0,1,100.0,0.0,-14.2,13.8,0.33314341515000007,72.8,98,CM,CM,0.57403173072,229.9,15.600000000000001,84.6,182.5,-0.16338021626381058,2.015516014215165,0.5593470483222768,2.4569687667327584,1.8758293330005331,11.806158184153057,46.12941960949885,26.631439296324068,69.03927214532895,58.771300224421566,1.2673129920843265,95.0,94.26751592356688,Top 95%
36813,Janio Bikel Figueiredo Silva,,Guinea-Bissau,African Cup of Nations,2023,2020s,['CDM'],0,0.0,0,0,0.0,0,0,0.0,0,0,136,0,0,0,0,0,1,13,0,1,3,3,46,0,0,0.0,0.0,-7.0,0.0,0.0,29.9,98,CDM,CDM,0.0,149.60000000000002,0.0,35.099999999999994,0.0,-0.3872968012749824,0.8152847672057302,-0.6324026633461642,0.29065752464114186,-0.38185977859659026,9.336806066902325,31.280940838311732,11.792274544729143,33.179040762854264,19.44345672421158,-0.021514887361339434,63.63636363636363,61.98830409356725,Top 75%
10323,Alfa Semedo Esteves,,Guinea-Bissau,African Cup of Nations,2023,2020s,['CAM' 'CDM' 'CM'],0,0.05379542,3,0,0.017931806666666664,0,0,0.0,0,0,70,0,0,1,1,0,4,10,0,4,2,3,41,0,0,0.0,0.0,-2.8,2.5,0.069934046,30.0,94,CAM,CAM,0.129109008,77.0,2.8,35.599999999999994,0.0,-0.4825533292122738,-0.15692560220802215,-0.8095897658010536,0.17967774798148092,-0.7251125445192222,8.286317069259885,19.253387758572085,9.58601547922048,31.341926874293975,13.464160908026413,-0.4009497936980803,37.93103448275862,35.77235772357724,Top 50%
